time,avg_power_demand_W,energy_demand_kWh,peak_power_W,day,month
2020-11-05,1094.9382716049383,14.781666666666668,25340.0,Thursday,November
2020-11-06,0.0,0.0,0.0,Friday,November
2020-11-07,0.0,0.0,0.0,Saturday,November
2020-11-08,0.0,0.0,0.0,Sunday,November
2020-11-09,0.0,0.0,0.0,Monday,November
2020-11-10,0.0,0.0,0.0,Tuesday,November
2020-11-11,5642.916666666667,135.43,28020.0,Wednesday,November
2020-11-12,0.0,0.0,0.0,Thursday,November
2020-11-13,2539.5833333333335,60.95000000000001,13800.0,Friday,November
2020-11-14,287.0416666666667,6.889000000000001,27556.0,Saturday,November
2020-11-15,2200.652777777778,52.81566666666667,27556.0,Sunday,November
2020-11-16,2093.6666666666665,50.248000000000005,27408.0,Monday,November
2020-11-17,191.80555555555554,4.6033333333333335,27272.0,Tuesday,November
2020-11-18,5441.125,130.587,27492.0,Wednesday,November
2020-11-19,0.0,0.0,0.0,Thursday,November
2020-11-20,0.0,0.0,0.0,Friday,November
2020-11-21,0.0,0.0,0.0,Saturday,November
2020-11-22,0.0,0.0,0.0,Sunday,November
2020-11-23,0.0,0.0,0.0,Monday,November
2020-11-24,0.0,0.0,0.0,Tuesday,November
2020-11-25,12867.694444444445,308.8246666666667,56436.0,Wednesday,November
2020-11-26,0.0,0.0,0.0,Thursday,November
2020-11-27,0.0,0.0,0.0,Friday,November
2020-11-28,0.0,0.0,0.0,Saturday,November
2020-11-29,0.0,0.0,0.0,Sunday,November
2020-11-30,0.0,0.0,0.0,Monday,November
2020-12-01,3655.3888888888887,87.72933333333334,27704.0,Tuesday,December
2020-12-02,6116.680555555556,146.80033333333333,56316.0,Wednesday,December
2020-12-03,0.0,0.0,0.0,Thursday,December
2020-12-04,2351.125,56.427,10748.0,Friday,December
2020-12-05,0.0,0.0,0.0,Saturday,December
2020-12-06,0.0,0.0,0.0,Sunday,December
2020-12-07,7460.666666666667,179.05599999999998,28272.0,Monday,December
2020-12-08,4589.333333333333,110.144,27536.0,Tuesday,December
2020-12-09,0.0,0.0,0.0,Wednesday,December
2020-12-10,0.0,0.0,0.0,Thursday,December
2020-12-11,0.0,0.0,0.0,Friday,December
2020-12-12,0.0,0.0,0.0,Saturday,December
2020-12-13,0.0,0.0,0.0,Sunday,December
