time,avg_power_demand_W,energy_demand_kWh,peak_power_W,day,month
2020-11-30,311.78864439011136,191.28233333333333,14109.0,Thursday,November
2020-12-31,396.46751792114696,294.97183333333334,14079.0,Tuesday,December
2021-01-31,546.202620967742,406.37475,17778.0,Friday,January
2021-02-28,558.5128968253969,375.3206666666667,10280.0,Monday,February
2021-03-31,1139.3429659498208,847.6711666666666,29802.0,Monday,March
2021-04-30,2042.0471064814815,1470.2739166666668,27200.0,Thursday,April
2021-05-31,1521.7643369175628,1132.1926666666666,20842.0,Saturday,May
2021-06-30,2245.119675925926,1616.4861666666666,44305.0,Tuesday,June
2021-07-31,2200.7749775985662,1637.3765833333332,27092.0,Thursday,July
2021-08-31,2631.9305555555557,1958.1563333333334,34333.0,Sunday,August
2021-09-30,3749.9627314814816,2699.9731666666667,50756.0,Wednesday,September
2021-10-31,3234.759296594982,2406.6609166666667,45171.0,Friday,October
2021-11-30,3381.32962962963,2434.557333333333,36704.0,Monday,November
2021-12-31,3234.4239471326164,2406.411416666667,41369.0,Wednesday,December
2022-01-31,2307.426299283154,1716.7251666666666,26703.0,Saturday,January
2022-02-28,2759.7562003968255,1854.5561666666667,28821.0,Tuesday,February
2022-03-31,2819.2945788530465,2097.5551666666665,32410.0,Tuesday,March
2022-04-30,1913.3190972222221,1377.58975,25890.0,Friday,April
2022-05-31,2840.36917562724,2113.2346666666667,38506.0,Sunday,May
2022-06-30,3195.2224537037036,2300.5601666666666,35972.0,Wednesday,June
2022-07-31,2927.939516129032,2178.387,24490.0,Friday,July
2022-08-31,3444.5134408602153,2562.718,38062.0,Monday,August
2022-09-30,2570.305208333333,1850.61975,35702.0,Thursday,September
2022-10-31,2735.3695116487456,2035.1149166666667,29358.0,Saturday,October
2022-11-30,2757.1050925925924,1985.1156666666666,26301.0,Tuesday,November
2022-12-31,2141.392025089606,1593.1956666666667,32769.0,Thursday,December
2023-01-31,3790.554211469534,2820.1723333333334,33229.0,Sunday,January
2023-02-28,4387.755580357143,2948.57175,34517.0,Wednesday,February
2023-03-31,4122.140302066773,864.2754166666666,25890.0,Wednesday,March
