time,peak_power_W forecast
2023-01-07 02:00:00,1879.8
2023-01-07 03:00:00,1879.8
2023-01-07 04:00:00,1879.8
2023-01-07 05:00:00,1879.8
2023-01-07 06:00:00,66.9
2023-01-07 07:00:00,185.15
2023-01-07 08:00:00,1401.85
2023-01-07 09:00:00,2789.65
2023-01-07 10:00:00,3935.7
2023-01-07 11:00:00,4286.6
2023-01-07 12:00:00,2803.8
2023-01-07 13:00:00,2268.65
2023-01-07 14:00:00,3444.15
2023-01-07 15:00:00,600.3
2023-01-07 16:00:00,594.9
2023-01-07 17:00:00,608.75
2023-01-07 18:00:00,397.85
2023-01-07 19:00:00,266.0
2023-01-07 20:00:00,502.35
2023-01-07 21:00:00,208.1
2023-01-07 22:00:00,208.1
2023-01-07 23:00:00,210.7
2023-01-08 00:00:00,215.7
2023-01-08 01:00:00,211.65
2023-01-08 02:00:00,849.25
2023-01-08 03:00:00,849.25
2023-01-08 04:00:00,849.25
2023-01-08 05:00:00,849.25
2023-01-08 06:00:00,97.2
2023-01-08 07:00:00,22.05
2023-01-08 08:00:00,656.2
2023-01-08 09:00:00,2157.25
2023-01-08 10:00:00,1526.05
2023-01-08 11:00:00,2627.0
2023-01-08 12:00:00,3761.7
2023-01-08 13:00:00,3383.5
2023-01-08 14:00:00,4753.55
2023-01-08 15:00:00,3279.6
2023-01-08 16:00:00,2406.1
2023-01-08 17:00:00,1018.1
2023-01-08 18:00:00,1339.25
2023-01-08 19:00:00,16.7
2023-01-08 20:00:00,83.2
2023-01-08 21:00:00,630.65
2023-01-08 22:00:00,630.65
2023-01-08 23:00:00,628.05
2023-01-09 00:00:00,104.25
2023-01-09 01:00:00,2.6
2023-01-09 02:00:00,161.95
2023-01-09 03:00:00,161.95
2023-01-09 04:00:00,161.95
2023-01-09 05:00:00,161.95
2023-01-09 06:00:00,730.2
2023-01-09 07:00:00,22.05
2023-01-09 08:00:00,1426.3
2023-01-09 09:00:00,6671.25
2023-01-09 10:00:00,6150.4
2023-01-09 11:00:00,5989.95
2023-01-09 12:00:00,6333.9
2023-01-09 13:00:00,7079.45
2023-01-09 14:00:00,7676.9
2023-01-09 15:00:00,6578.9
2023-01-09 16:00:00,5229.7
2023-01-09 17:00:00,3749.7
2023-01-09 18:00:00,2880.05
2023-01-09 19:00:00,28.75
2023-01-09 20:00:00,688.6
2023-01-09 21:00:00,388.4
2023-01-09 22:00:00,388.4
2023-01-09 23:00:00,483.55
2023-01-10 00:00:00,0.0
2023-01-10 01:00:00,2.6
2023-01-10 02:00:00,0.0
2023-01-10 03:00:00,0.0
2023-01-10 04:00:00,0.0
2023-01-10 05:00:00,0.0
2023-01-10 06:00:00,76.9
2023-01-10 07:00:00,718.8
